,location,size,total_sqft,bath,price,bhk,price_per_sqft
67,Marathahalli,2 BHK,1220.0,2.0,57.0,2,4672.131147540984
68,Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,6296.2962962962965
69,Kanakpura Road,2 BHK,1005.0,2.0,36.68,2,3649.7512437810947
70,Double Road,3 Bedroom,500.0,3.0,100.0,3,20000.0
71,Begur Road,2 BHK,1358.0,2.0,80.58,2,5933.726067746687
72,Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,6437.221159974506
73,Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645.1612903225805
74,Hennur Road,3 BHK,2089.0,3.0,140.0,3,6701.771182383915
75,Kothannur,2 BHK,1206.0,2.0,48.23,2,3999.1708126036483
76,Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2,3478.2608695652175
77,Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,3,8164.078056551175
78,Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,4782.608695652174
79,ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6,5681.818181818182
80,Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,3,6325.301204819277
82,Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882.35294117647
83,Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,4588.679245283019
84,EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804.536357571715
85,Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6,7000.0
86,Kanakpura Road,3 BHK,1665.0,3.0,88.0,3,5285.285285285286
87,Dasanapura,2 BHK,708.0,2.0,37.0,2,5225.988700564972
88,Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,5477.358490566037
89,Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,6,22535.211267605635
90,Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000.0
91,Electronic City,2 BHK,1000.0,2.0,28.88,2,2888.0
92, Mysore Highway,3 BHK,1450.0,2.0,70.0,3,4827.586206896552
93,ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4,12916.666666666666
94,Thanisandra,2 BHK,1296.0,2.0,80.0,2,6172.83950617284
95,Domlur,3 BHK,1540.0,3.0,90.0,3,5844.1558441558445
96,Kengeri,4 Bedroom,2894.0,4.0,245.0,4,8465.791292328957
97,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3,3609.0225563909776
98,Devasthanagalu,2 BHK,1200.0,2.0,65.0,2,5416.666666666667
99,T Dasarahalli,3 Bedroom,1200.0,3.0,90.0,3,7500.0
100,Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,5515.587529976019
101,Chandapura,2 BHK,650.0,1.0,17.0,2,2615.3846153846152
102,Kothanur,3 Bedroom,2400.0,2.0,150.0,3,6250.0
103,Green View Layout,2 BHK,1007.0,2.0,43.0,2,4270.109235352532
104,Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
105,Peenya,2 BHK,966.0,2.0,49.9,2,5165.631469979296
106,Nagarbhavi,3 BHK,1630.0,2.0,98.0,3,6012.269938650306
107,Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3,13963.414634146342
108,Jalahalli West,2 BHK,782.0,2.0,55.68,2,7120.204603580562
109,Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300.0
110,Lakshmiamma Garden,3 BHK,1800.0,3.0,120.0,3,6666.666666666667
111,Byatarayanapura,3 BHK,1413.0,2.0,75.0,3,5307.855626326964
112,Whitefield,2 BHK,1116.0,2.0,51.91,2,4651.433691756272
113,Electronic City,3 BHK,1530.0,2.0,45.9,3,3000.0
114,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4,6081.081081081081
115,Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,5606.728073688426
116,Kengeri,3 BHK,1540.0,2.0,64.0,3,4155.8441558441555
117,Thanisandra,3 BHK,1436.0,3.0,74.75,3,5205.431754874652
118,Malleshwaram,2 BHK,1100.0,2.0,75.0,2,6818.181818181818
119,Hennur Road,2 Bedroom,276.0,3.0,23.0,2,8333.333333333334
120,Thanisandra,3 BHK,1427.0,3.0,120.0,3,8409.250175192712
121,Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3,9704.02717127608
122,Hebbal,4 BHK,5611.5,4.0,477.0,4,8500.400962309543
123,Shampura,4 BHK,2650.0,4.0,150.0,4,5660.377358490566
124,Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344.773790951638
125,Kadugodi,2 BHK,1050.0,2.0,34.0,2,3238.095238095238
126,LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3,4062.5
127,Vajarahalli,2 BHK,945.0,2.0,54.0,2,5714.285714285715
128,Hormavu,2 BHK,1500.0,2.0,78.0,2,5200.0
129,Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7,12105.263157894737
130,Peenya,3 BHK,1870.0,3.0,110.0,3,5882.35294117647
131,Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,4687.5
132,Electronic City,2 BHK,880.0,1.0,16.5,2,1875.0
133,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,210.0,4,17500.0
134,Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,5407.166123778502
135,Kanakpura Road,2 BHK,950.0,2.0,57.0,2,6000.0
136,Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779.411764705882
137,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
138,Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3,3937.5
139,Chandra Layout,3 BHK,1260.0,2.0,85.05,3,6750.0
140,Hennur Road,8 Bedroom,5000.0,8.0,250.0,8,5000.0
141,Yelahanka,5 BHK,3050.0,5.0,213.0,5,6983.606557377049
142,Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,6717.635392341896
143,ISRO Layout,2 BHK,1000.0,2.0,60.0,2,6000.0
144,Anandapura,2 BHK,1167.0,2.0,43.76,2,3749.7857754927163
145,Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7,5625.0
146,Kothanur,3 BHK,1828.0,3.0,110.0,3,6017.505470459519
147,Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,3932.5842696629215
148,Basavanapura,3 BHK,1612.0,3.0,46.74,3,2899.5037220843674
149,Dinnur,6 Bedroom,1034.0,5.0,185.0,6,17891.682785299807
150,Mysore Road,3 BHK,1710.0,4.0,91.31,3,5339.766081871345
151,Kannamangala,2 BHK,957.0,2.0,58.0,2,6060.606060606061
152, Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3,3520.0
153,Sanjeevini Nagar,3 BHK,2795.0,4.0,235.0,3,8407.871198568873
154,Hulimavu,2 BHK,1125.0,2.0,50.0,2,4444.444444444444
155,Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,3000.0
156,Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
157,Thanisandra,3 BHK,1735.0,3.0,135.0,3,7780.979827089337
158,Thanisandra,3 BHK,2050.0,3.0,145.0,3,7073.170731707317
159,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,4,20266.666666666668
160,Yarandahalli,3 BHK,1350.0,2.0,48.0,3,3555.5555555555557
161,Hosa Road,2 BHK,1063.0,2.0,32.0,2,3010.348071495767
162,Keshava Nagar,3 BHK,1904.0,3.0,150.0,3,7878.151260504202
163,Whitefield,4 Bedroom,4200.0,4.0,420.0,4,10000.0
164,RMV Extension,3 BHK,2000.0,3.0,175.0,3,8750.0
165,Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500.201207243461
166,Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,3,5263.1578947368425
167,Electronic City,3 BHK,1500.0,2.0,64.5,3,4300.0
168,Electronic City,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
169,Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,3,4761.9047619047615
170,Kothnur Narayanapura,6 BHK,1300.0,6.0,99.0,6,7615.384615384615
171,Attibele,1 BHK,450.0,1.0,11.0,1,2444.4444444444443
172,Electronic City,2 BHK,1152.0,2.0,64.5,2,5598.958333333333
173,Electronic City,3 BHK,1350.0,2.0,56.0,3,4148.148148148148
174,CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3,4193.548387096775
175,CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,100.0,3,6666.666666666667
176,Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,5,14166.666666666666
177,Nagavara,1 Bedroom,400.0,1.0,14.0,1,3500.0
178,Malleshwaram,1 BHK,705.0,1.0,67.0,1,9503.54609929078
179,Electronic City,2 BHK,770.0,1.0,36.0,2,4675.324675324675
180,Hulimavu,2 BHK,1242.0,2.0,51.0,2,4106.280193236715
181,Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3,9117.64705882353
182,Thanisandra,3 BHK,2144.0,3.0,145.0,3,6763.059701492537
183,Vijayanagar,3 BHK,1704.0,3.0,110.0,3,6455.399061032864
184,Electronic City,2 BHK,1070.0,2.0,52.0,2,4859.813084112149
185,8th block Koramangala,3 Bedroom,1846.0,3.0,300.0,3,16251.354279523293
186,Jakkuru Layout,2 BHK,1340.0,2.0,55.7,2,4156.7164179104475
187,Electronic City,2 BHK,1025.0,2.0,46.0,2,4487.804878048781
188,KR Puram,2 BHK,1277.5,2.0,56.8,2,4446.183953033268
189,Marathahalli,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
190,Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,4888.888888888889
191,Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,5161.290322580645
192,Bellandur,4 Bedroom,1200.0,5.0,325.0,4,27083.333333333332
193,Ejipura,7 Bedroom,1800.0,7.0,250.0,7,13888.888888888889
194,Marathahalli,2 BHK,1200.0,2.0,60.0,2,5000.0
195,Yelahanka,2 BHK,1327.0,2.0,98.0,2,7385.079125847777
196,Kothanur,2 BHK,1186.0,2.0,58.0,2,4890.387858347386
197,MS Pallya,3 Bedroom,1783.0,3.0,115.0,3,6449.8037016264725
198,HSR Layout,3 BHK,1400.0,3.0,56.0,3,4000.0
199,Nagasandra,2 BHK,980.0,2.0,48.0,2,4897.959183673469
200,EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381.322957198444
201,Langford Town,3 BHK,912.0,2.0,70.0,3,7675.438596491228
202,Whitefield,2 BHK,1225.0,2.0,47.6,2,3885.714285714286
203,Whitefield,2 BHK,1075.0,2.0,53.0,2,4930.232558139535
204,Kadugodi,3 BHK,1260.0,2.0,54.0,3,4285.714285714285
205,Yelahanka,3 BHK,1282.0,2.0,48.7,3,3798.751950078003
206,Kogilu,3 BHK,1909.0,3.0,88.0,3,4609.743321110529
207,Panathur,2 BHK,1359.0,2.0,87.0,2,6401.766004415011
208,Nagondanahalli,2 BHK,1207.0,2.0,43.5,2,3603.976801988401
209,Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4,10944.700460829494
210,1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017.543859649122
211,Kammasandra,3 BHK,1595.0,3.0,65.0,3,4075.2351097178685
212,"Off Sarjapur Road, ",3 BHK,1798.0,3.0,89.0,3,4949.944382647386
213,Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,5307.796610169492
214,Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,3,6329.113924050633
215,Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019.305019305019
216,Magadi Road,6 Bedroom,3600.0,6.0,141.0,6,3916.6666666666665
217,Electronic City,1 BHK,589.0,1.0,27.0,1,4584.040747028863
218,Ngef Layout,3 BHK,1415.0,3.0,78.0,3,5512.367491166077
219,Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,5500.279798545048
220,Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,6994.963626189144
221,Koramangala,3 BHK,1475.0,2.0,90.0,3,6101.6949152542375
222,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,75.5,4,3775.0
223,Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,4500.0
225,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,3,10810.81081081081
226,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
227,Shantiniketan Layout,2 Bedroom,1500.0,2.0,115.0,2,7666.666666666667
228,Hebbal,3 BHK,1900.0,3.0,119.0,3,6263.1578947368425
229,Dommasandra,2 BHK,805.0,2.0,22.14,2,2750.3105590062114
230,Budigere,2 BHK,1153.0,2.0,56.4,2,4891.587163920208
231,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2,5226.480836236934
232,Mylasandra,2 BHK,1110.0,2.0,55.0,2,4954.954954954955
233,Electronic City,2 BHK,1100.0,2.0,42.0,2,3818.181818181818
234,Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,8527.131782945737
235,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,3,4333.333333333333
236,Bank Of Baroda Colony,2 BHK,1080.0,2.0,39.0,2,3611.1111111111113
237,Vijayanagar,3 BHK,1933.0,3.0,129.0,3,6673.564407656492
238,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5,4285.714285714285
239,Kullappa Colony,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
240,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
241,Mukkutam Nagar,8 Bedroom,2600.0,8.0,180.0,8,6923.076923076923
242,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
243,Ashwath Nagar,3 BHK,1644.0,3.0,84.0,3,5109.489051094891
244,Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,2,5642.023346303502
245,Electronic City,3 Bedroom,1200.0,3.0,90.0,3,7500.0
246,Electronic City,2 BHK,910.0,2.0,40.0,2,4395.604395604396
247,Kothanur,3 BHK,1577.0,3.0,70.0,3,4438.807863031072
248,Meenakunte,3 Bedroom,4050.0,3.0,280.0,3,6913.580246913581
249,OMBR Layout,3 BHK,2420.0,3.0,185.0,3,7644.628099173554
250,Chandapura,2 BHK,800.0,1.0,20.0,2,2500.0
251,Anand Nagar,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
252,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
253,Shree Ananth Nagar Layout,2 BHK,900.0,2.0,22.5,2,2500.0
254,Kundalahalli Colony,2 Bedroom,1280.0,2.0,69.0,2,5390.625
255,Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4,7916.666666666667
256,Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2,3512.1951219512193
257,Electronic City,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
258,MCECHS  layout,5 Bedroom,1200.0,5.0,170.0,5,14166.666666666666
259,Coffee Board Layout,3 BHK,3045.0,3.0,170.0,3,5582.922824302134
260,Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4,10344.827586206897
261,Vijayanagar,3 BHK,1500.0,3.0,75.5,3,5033.333333333333
262,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,3389.96138996139
263,Budigere,2 BHK,1162.0,2.0,59.9,2,5154.9053356282275
264,Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,4753.623188405797
265,Attibele,4 Bedroom,1600.0,4.0,52.8,4,3300.0
266,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,46.0,3,3142.0765027322404
267,Hennur Road,3 BHK,1866.0,2.0,61.58,3,3300.10718113612
268,Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,2,3714.285714285714
269,Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,6651.884700665189
270,Sarjapur,2 BHK,913.0,2.0,32.0,2,3504.9288061336256
271,Talaghattapura,3 BHK,1868.0,3.0,131.0,3,7012.847965738758
272,Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,5096.262740656852
273,Sundara Nagar,2 Bedroom,900.0,2.0,110.0,2,12222.222222222223
274,Kogilu,3 BHK,1664.0,2.0,73.95,3,4444.110576923077
275,Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,6515.301085883514
276,Balagere,2 BHK,1210.0,2.0,80.9,2,6685.950413223141
277,Meenakunte,4 Bedroom,4111.0,4.0,250.0,4,6081.24543906592
278,Kadugodi,3 BHK,1762.0,3.0,91.45,3,5190.124858115778
279,Jigani,3 BHK,1252.0,3.0,55.0,3,4392.97124600639
280,Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006.968641114983
281,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
282,Srirampura,6 Bedroom,1450.0,6.0,250.0,6,17241.379310344826
283,Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,5288.5906040268455
284,Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,4279.069767441861
285,Old Madras Road,3 BHK,1425.0,2.0,94.0,3,6596.491228070176
286,Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,3333.3333333333335
287,Kaggadasapura,3 BHK,1280.0,2.0,56.0,3,4375.0
288,Silver Springs Layout,2 BHK,1084.0,2.0,50.0,2,4612.546125461255
289,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
290,Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,5039.331366764995
291,Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
292,Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,4209.541627689429
293,Hebbal,2 BHK,1349.0,2.0,98.2,2,7279.466271312083
294,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975.124378109453
295,Jakkur,2 BHK,1417.0,2.0,75.0,2,5292.87226534933
296,TC Palaya,3 Bedroom,1475.0,3.0,98.0,3,6644.067796610169
297,Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,2,4947.368421052632
298,RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,4,6000.0
299,Giri Nagar,3 Bedroom,880.0,3.0,140.0,3,15909.09090909091
300,Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,5582.393988191089
301,Singasandra,2 BHK,1010.0,2.0,29.5,2,2920.792079207921
302,Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,4912.2807017543855
303,Vijayanagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
304,Kothanur,3 BHK,1847.0,3.0,105.0,3,5684.89442338928
305,AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
306,Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952.380952380952
307,Mallasandra,3 BHK,1665.0,3.0,95.0,3,5705.705705705705
308,Begur,4 BHK,1664.0,4.0,65.0,4,3906.25
309,JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
310,Panathur,2 BHK,1438.0,2.0,100.0,2,6954.102920723227
311,Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,3,7371.794871794872
312,Yelahanka,2 BHK,1350.0,2.0,55.55,2,4114.814814814815
313,Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,4322.580645161291
314,Malleshpalya,2 BHK,1140.0,2.0,46.5,2,4078.9473684210525
315,Srirampura,5 Bedroom,1200.0,5.0,180.0,5,15000.0
316,Kodathi,2 BHK,850.0,2.0,27.0,2,3176.470588235294
317,Whitefield,2 BHK,1280.0,2.0,75.0,2,5859.375
318,Munnekollal,2 BHK,1170.0,2.0,52.0,2,4444.444444444444
319,Motappa Layout,2 BHK,1113.0,2.0,51.0,2,4582.210242587601
320,Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999.27797833935
321,Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
322,Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,10666.666666666666
323,Akshaya Vana,4 Bedroom,1200.0,4.0,165.0,4,13750.0
324,Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3,17364.016736401674
325,Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4,16666.666666666668
326,Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
327,Manayata Tech Park,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
328,Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
329,Kaggalipura,3 BHK,1150.0,2.0,55.0,3,4782.608695652174
330,Basavanna Nagar,3 BHK,1645.0,3.0,95.0,3,5775.075987841945
331,Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,6700.0
332,Haralur Road,4 Bedroom,2650.0,4.0,198.0,4,7471.698113207547
333,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
334,Ulsoor,3 BHK,2135.0,3.0,215.0,3,10070.257611241217
335,Whitefield,2 BHK,1173.0,2.0,58.0,2,4944.58653026428
336,Uttarahalli,2 BHK,1020.0,2.0,45.0,2,4411.764705882353
337,Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,7367.072389493914
338,Somasundara Palya,3 BHK,1600.0,3.0,64.0,3,4000.0
339,T.C PALYA,2 Bedroom,1200.0,2.0,79.0,2,6583.333333333333
340,Muneshwara Nagar,2 BHK,1230.0,2.0,48.0,2,3902.439024390244
341, Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200.0
342,Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,5735.8490566037735
343,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
345,Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,5416.666666666667
346,Bull Temple Road,3 Bedroom,1350.0,2.0,140.0,3,10370.37037037037
347,Bommasandra,3 BHK,1260.0,3.0,49.36,3,3917.4603174603176
348,Prashanth Nagar,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
349,Suragajakkanahalli,3 Bedroom,11.0,3.0,74.0,3,672727.2727272727
350,Ardendale,2 BHK,1100.0,2.0,43.25,2,3931.818181818182
351,Harlur,2 BHK,1508.0,2.0,77.0,2,5106.100795755968
352,Sampigehalli,3 BHK,1592.0,3.0,75.0,3,4711.05527638191
353,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106.628242074928
354,Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500.0
355,RMV,3 Bedroom,2000.0,3.0,365.0,3,18250.0
356,Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,125.0,3,7094.211123723042
